"filename", "language", "HTML", "JavaScript", "PostCSS", "comment", "blank", "total"
"/home/azure/GENZ_ELIB/404.html", "HTML", 10, 0, 0, 0, 1, 11
"/home/azure/GENZ_ELIB/LoginPage.html", "HTML", 76, 0, 0, 0, 5, 81
"/home/azure/GENZ_ELIB/about.html", "HTML", 149, 0, 0, 5, 18, 172
"/home/azure/GENZ_ELIB/account.html", "HTML", 176, 0, 0, 6, 14, 196
"/home/azure/GENZ_ELIB/assets/css/about.css", "PostCSS", 0, 0, 237, 8, 16, 261
"/home/azure/GENZ_ELIB/assets/css/account.css", "PostCSS", 0, 0, 423, 2, 40, 465
"/home/azure/GENZ_ELIB/assets/css/read.css", "PostCSS", 0, 0, 211, 0, 28, 239
"/home/azure/GENZ_ELIB/assets/css/styleLogin.css", "PostCSS", 0, 0, 233, 0, 3, 236
"/home/azure/GENZ_ELIB/assets/css/styles.css", "PostCSS", 0, 0, 322, 1, 49, 372
"/home/azure/GENZ_ELIB/assets/css/variable.css", "PostCSS", 0, 0, 36, 0, 1, 37
"/home/azure/GENZ_ELIB/assets/js/books.js", "JavaScript", 0, 102, 0, 0, 1, 103
"/home/azure/GENZ_ELIB/assets/js/chapterContent.js", "JavaScript", 0, 9, 0, 0, 0, 9
"/home/azure/GENZ_ELIB/assets/js/chapterSelector.js", "JavaScript", 0, 22, 0, 1, 2, 25
"/home/azure/GENZ_ELIB/assets/js/editDialog.js", "JavaScript", 0, 44, 0, 3, 3, 50
"/home/azure/GENZ_ELIB/assets/js/main.js", "JavaScript", 0, 89, 0, 2, 11, 102
"/home/azure/GENZ_ELIB/assets/js/nav.js", "JavaScript", 0, 22, 0, 3, 1, 26
"/home/azure/GENZ_ELIB/assets/js/readTracker.js", "JavaScript", 0, 13, 0, 1, 2, 16
"/home/azure/GENZ_ELIB/assets/js/searchRedirect.js", "JavaScript", 0, 6, 0, 3, 1, 10
"/home/azure/GENZ_ELIB/assets/js/srip.js", "JavaScript", 0, 21, 0, 1, 3, 25
"/home/azure/GENZ_ELIB/index.html", "HTML", 88, 0, 0, 5, 10, 103
"/home/azure/GENZ_ELIB/read_panel.html", "HTML", 98, 0, 0, 5, 8, 111
"Total", "-", 597, 328, 1462, 46, 217, 2650
